year,city_avg_temp,global_avg_temp
1796,24.39,8.27
1797,25.17,8.51
1798,24.05,8.67
1799,24.68,8.51
1800,24.67,8.48
1801,23.94,8.59
1802,25.18,8.58
1803,24.95,8.50
1804,25.33,8.84
1805,24.80,8.56
1806,24.68,8.43
1807,24.00,8.28
1813,24.03,7.74
1814,23.49,7.59
1815,23.58,7.24
1816,23.13,6.94
1817,23.37,6.98
1818,23.80,7.83
1819,23.54,7.37
1820,23.67,7.62
1821,24.24,8.09
1822,24.25,8.19
1823,24.28,7.72
1824,24.84,8.55
1825,24.54,8.39
1826,24.64,8.36
1827,24.64,8.81
1828,24.40,8.17
1829,24.23,7.94
1830,24.36,8.52
1831,24.08,7.64
1832,24.29,7.45
1833,24.29,8.01
1834,24.36,8.15
1835,23.56,7.39
1836,23.96,7.70
1837,23.92,7.38
1838,23.99,7.51
1839,24.04,7.63
1840,24.12,7.80
1841,23.87,7.69
1842,24.18,8.02
1843,23.92,8.17
1844,23.88,7.65
1845,24.17,7.85
1846,24.69,8.55
1847,24.15,8.09
1848,24.15,7.98
1849,24.07,7.98
1850,24.23,7.90
1851,24.16,8.18
1852,24.20,8.10
1853,24.41,8.04
1854,24.53,8.21
1855,24.55,8.11
1856,24.04,8.00
1857,23.69,7.76
1858,24.35,8.10
1859,24.41,8.25
1860,24.19,7.96
1861,24.06,7.85
1862,21.86,7.56
1865,24.64,8.18
1866,24.65,8.29
1867,24.69,8.44
1868,24.61,8.25
1869,24.66,8.43
1870,24.28,8.20
1871,24.31,8.12
1872,24.32,8.19
1873,24.40,8.35
1874,24.42,8.43
1875,24.49,7.86
1876,24.89,8.08
1877,25.13,8.54
1878,25.07,8.83
1879,24.03,8.17
1880,24.57,8.12
1881,24.51,8.27
1882,24.29,8.13
1883,23.89,7.98
1884,23.94,7.77
1885,24.34,7.92
1886,24.42,7.95
1887,23.94,7.91
1888,24.72,8.09
1889,24.74,8.32
1890,24.51,7.97
1891,24.64,8.02
1892,24.70,8.07
1893,23.89,8.06
1894,24.55,8.16
1895,24.60,8.15
1896,25.29,8.21
1897,25.01,8.29
1898,24.89,8.18
1899,24.95,8.40
1900,25.29,8.50
1901,24.81,8.54
1902,25.35,8.30
1903,24.41,8.22
1904,24.69,8.09
1905,24.45,8.23
1906,24.51,8.38
1907,24.49,7.95
1908,24.30,8.19
1909,24.47,8.18
1910,24.22,8.22
1911,24.78,8.18
1912,25.01,8.17
1913,24.64,8.30
1914,24.69,8.59
1915,24.79,8.59
1916,24.59,8.23
1917,23.91,8.02
1918,24.76,8.13
1919,24.78,8.38
1920,24.87,8.36
1921,24.77,8.57
1922,24.57,8.41
1923,24.56,8.42
1924,24.87,8.51
1925,24.61,8.53
1926,24.86,8.73
1927,24.54,8.52
1928,24.71,8.63
1929,24.84,8.24
1930,24.61,8.63
1931,24.88,8.72
1932,24.59,8.71
1933,24.38,8.34
1934,24.26,8.63
1935,24.37,8.52
1936,24.67,8.55
1937,24.43,8.70
1938,24.34,8.86
1939,24.60,8.76
1940,24.59,8.76
1941,25.57,8.77
1942,25.00,8.73
1943,24.48,8.76
1944,24.75,8.85
1945,24.40,8.58
1946,24.76,8.68
1947,24.79,8.80
1948,25.06,8.75
1949,24.82,8.59
1950,24.54,8.37
1951,24.98,8.63
1952,24.98,8.64
1953,25.09,8.87
1954,24.68,8.56
1955,24.68,8.63
1956,24.50,8.28
1957,24.95,8.73
1958,25.28,8.77
1959,25.11,8.73
1960,25.02,8.58
1961,24.66,8.80
1962,24.66,8.75
1963,24.80,8.86
1964,24.63,8.41
1965,24.96,8.53
1966,25.26,8.60
1967,25.05,8.70
1968,24.68,8.52
1969,25.37,8.60
1970,24.74,8.70
1971,24.54,8.60
1972,25.31,8.50
1973,25.18,8.95
1974,24.87,8.47
1975,24.47,8.74
1976,25.05,8.35
1977,25.30,8.85
1978,24.81,8.69
1979,25.28,8.73
1980,25.33,8.98
1981,25.00,9.17
1982,25.21,8.64
1983,24.70,9.03
1984,24.99,8.69
1985,25.02,8.66
1986,25.26,8.83
1987,25.61,8.99
1988,25.29,9.20
1989,24.86,8.92
1990,24.78,9.23
1991,25.06,9.18
1992,25.14,8.84
1993,25.06,8.87
1994,24.84,9.04
1995,25.24,9.35
1996,25.34,9.04
1997,25.21,9.20
1998,25.55,9.52
1999,25.10,9.29
2000,25.11,9.20
2001,25.34,9.41
2002,25.58,9.57
2003,25.75,9.53
2004,25.32,9.32
2005,25.09,9.70
2006,25.31,9.53
2007,25.58,9.73
2008,25.23,9.43
2009,25.87,9.51
2010,25.75,9.70
2011,25.16,9.52
2012,25.30,9.51
2013,25.85,9.61
