country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,,,,,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1.01,,
Algeria,,,,,,,,,,,,,0.722,,,,,,,,,,,,,,,0.916,,,,0.944,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,0.754,,,,,,,,0.811,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,
Argentina,,,,,,1.01,,,,,,,,,,,1.01,,,,,,,,,,1,,,,,,,,1,
Armenia,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,
Bahrain,,,,,,,0.915,,,,,,,,,,0.993,,,,,,,,,,1,,,,,,,,1,
Bangladesh,,,,,,,0.612,,,,,,,,,,0.734,,,,,,,,,,0.897,,,,,,,,1.04,
Belarus,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,
Belize,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,
Benin,,,,,0.399,,,,,,,,,,,,,0.484,,,,,,,,,,0.561,,,,,,,0.669,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.849,,,,,
Bolivia,,0.829,,,,,,,,,,,,,,,,0.951,,,,,,,,,0.975,,,,,,0.994,0.995,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,
Botswana,,,,,,,,,,,,,,,,,1.07,,,,,,,,,,,,1.04,,,,,,1.03,
Brazil,,,,,,1.03,,,,,,,,,,,,,,,,,,,,1.03,,,,1.02,,1.02,1.02,1.01,,
Brunei,,,,,,,0.991,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,0.999,
